"country","hdi","pop2021"
"Philippines","0.7120","111046.9130"
"Moldova","0.7110","4024.0190"
"Turkmenistan","0.7100","6117.9240"
"Uzbekistan","0.7100","33935.7630"
"Libya","0.7080","6958.5320"
"Indonesia","0.7070","276361.7830"
"South Africa","0.7050","60041.9940"
"Bolivia","0.7030","11832.9400"
"Gabon","0.7020","2278.8250"
"Egypt","0.7000","104258.3270"
"Marshall Islands","0.6980","59.6100"
"Vietnam","0.6930","98168.8330"
"Palestine","0.6900","5222.7480"
"Iraq","0.6890","41179.3500"
"Morocco","0.6760","37344.7950"
"Kyrgyzstan","0.6740","6628.3560"
"Guyana","0.6700","790.3260"
"El Salvador","0.6670","6518.4990"
"Tajikistan","0.6560","9749.6270"
"Nicaragua","0.6510","6702.3850"
"Guatemala","0.6510","18249.8600"
"India","0.6470","1393409.0380"
"Namibia","0.6450","2587.3440"
"Timor-Leste","0.6260","1343.8730"
"Kiribati","0.6230","121.3920"
"Honduras","0.6230","10062.9910"
"Bhutan","0.6170","779.8980"
"Micronesia","0.6140","116.2540"
"Bangladesh","0.6140","166303.4980"
"Sao Tome and Principe","0.6090","223.3680"
"Eswatini","0.6080","1172.3620"
"Republic of the Congo","0.6080","5657.0130"
"Laos","0.6040","7379.3580"
"Vanuatu","0.5970","314.4640"
"Ghana","0.5960","31732.1290"
"Zambia","0.5910","18920.6510"
"Equatorial Guinea","0.5880","1449.8960"
"Myanmar","0.5840","54806.0120"
"Cambodia","0.5810","16946.4380"
"Nepal","0.5790","29674.9200"
"Kenya","0.5790","54985.6980"
"Angola","0.5740","33933.6100"
"Zimbabwe","0.5630","15092.1710"
"Cameroon","0.5630","27224.2650"
"Pakistan","0.5600","225199.9370"
"Solomon Islands","0.5570","703.9960"
"Syria","0.5490","18275.7020"
"Papua New Guinea","0.5430","9119.0100"
"Comoros","0.5380","888.4510"
"Rwanda","0.5360","13276.5130"
"Nigeria","0.5340","211400.7080"
"Uganda","0.5280","47123.5310"
"Tanzania","0.5280","61498.4370"
"Mauritania","0.5270","4775.1190"
"Madagascar","0.5210","28427.3280"
"Benin","0.5200","12451.0400"
"Lesotho","0.5180","2159.0790"
"Ivory Coast","0.5160","27053.6290"
"Senegal","0.5140","17196.3010"
"Togo","0.5130","8478.2500"
"Sudan","0.5070","44909.3530"
"Haiti","0.5030","11541.6850"
"Afghanistan","0.4960","39835.4280"
"Djibouti","0.4950","1002.1870"
"Malawi","0.4850","19647.6840"
"Ethiopia","0.4700","117876.2270"
"Gambia","0.4660","2486.9450"
"Guinea","0.4660","13497.2440"
"Liberia","0.4650","5180.2030"
"Yemen","0.4630","30490.6400"
"Guinea-Bissau","0.4610","2015.4940"
"DR Congo","0.4590","92377.9930"
"Mozambique","0.4460","32163.0470"
"Sierra Leone","0.4380","8141.3430"
"Eritrea","0.4340","3601.4670"
"Burkina Faso","0.4340","21497.0960"
"Mali","0.4270","20855.7350"
"Burundi","0.4230","12255.4330"
"South Sudan","0.4130","11381.3780"
"Chad","0.4010","16914.9850"
"Central African Republic","0.3810","4919.9810"
"Niger","0.3770","25130.8170"
